chr	start	end	strand	NM	intron	Logan_sample_treated_S3.count	Logan_sample_untreated_S4.count	smp10_S10.count	smp11_S11.count	smp12_S12.count	smp13_S2.count	smp14_S3.count	smp15_S4.count	smp16_S5.count	smp17_S6.count	smp18_S7.count	smp19_S8.count	smp1_S1.count	smp20_S9.count	smp2_S2.count	smp3_S3.count	smp4_S4.count	smp5_S5.count	smp6_S6.count	smp7_S7.count	smp8_S8.count	smp9_S9.count
NC_000013.10	32944694	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NC_000013.10	32970253	32971034	+	NM_000059	INTRON	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0
NC_000013.10	32903629	32904941	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32937670	32945092	+	NM_000059	INTRON	2	0	2	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0
NC_000017.10	41267796	41277293	-	NR_027676	INTRON	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	2	0	1	0	1	0	0
NC_000013.10	32907524	32920963	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41246877	41247862	+	NR_027676	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NC_000017.10	41223255	41226358	-	NR_027676	INTRON	1	0	0	1	0	0	0	2	0	0	0	1	2	0	0	0	0	0	1	0	0	0
NC_000017.10	41276132	41277287	-	NR_027676	INTRON	17	9	16	7	17	8	30	12	8	28	27	16	14	15	8	15	19	11	17	6	9	21
NC_000013.10	32890664	32900237	+	NM_000059	INTRON	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
NC_000017.10	41213832	41222180	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32945237	32950806	+	NM_000059	INTRON	53	21	26	41	42	46	66	36	44	115	75	58	57	77	40	56	38	44	54	16	43	40
NC_000017.10	41215390	41219624	-	NR_027676	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1
NC_000013.10	32954282	32971034	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32899321	32903579	+	NM_000059	INTRON	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
NC_000017.10	41231416	41234420	-	NM_007300	INTRON	4	2	5	4	5	6	10	4	3	5	9	7	2	3	9	7	4	6	2	1	2	9
NC_000013.10	32968960	32969027	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41251897	41256138	-	NM_007297	INTRON	64	38	48	67	75	46	91	44	67	102	68	57	48	81	40	64	47	42	57	34	56	55
NC_000017.10	41201917	41203079	-	NR_027676	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41258132	41258472	-	NM_007297	INTRON	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32910890	32915144	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
NC_000013.10	32954282	32964836	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000017.10	41276119	41276753	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000017.10	41199728	41201136	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41223255	41242960	-	NR_027676	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32950922	32954058	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32890664	32903579	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
NC_000013.10	32921033	32927704	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41209152	41219624	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32929425	32930647	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32936830	32953453	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41209152	41210349	-	NR_027676	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000017.10	41219712	41222945	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41228614	41234420	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41251518	41321416	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000013.10	32950928	32953937	+	NM_000059	INTRON	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	1	0	0	0
NC_000017.10	41209152	41210240	-	NR_027676	INTRON	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000017.10	41247939	41251791	-	NR_027676	INTRON	0	0	0	1	1	0	1	0	0	3	9	0	0	2	1	2	2	1	0	3	2	0
NC_000017.10	41243049	41246760	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000013.10	32899321	32900237	+	NM_000059	INTRON	8	2	34	23	35	30	67	20	50	106	73	55	66	78	42	34	27	37	38	14	19	52
NC_000013.10	32953927	32954058	-	NM_000059	INTRON	0	0	0	1	2	1	1	1	3	1	2	2	1	1	2	1	1	2	0	1	2	0
NC_000013.10	32930746	32931878	-	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32915333	32918694	+	NM_000059	INTRON	27	11	21	25	36	34	43	15	25	70	49	30	34	51	25	18	12	21	15	14	26	31
NC_000013.10	32907524	32910401	+	NM_000059	INTRON	5	2	20	30	27	18	29	21	39	61	43	49	30	45	28	21	16	32	32	18	9	29
NC_000017.10	41215968	41228504	-	NR_027676	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41276753	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000017.10	41267796	41271137	-	NR_027676	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
NC_000013.10	32899321	32900378	+	NM_000059	INTRON	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
NC_000017.10	41256278	41256893	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41228631	41242960	-	NM_007300	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32893462	32899212	+	NM_000059	INTRON	24	7	20	22	21	20	51	8	42	55	40	56	28	38	36	20	22	44	16	15	16	25
NC_000017.10	41215968	41222944	-	NR_027676	INTRON	2	0	0	2	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	4
NC_000013.10	32971181	32972274	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
NC_000013.10	32954264	32964663	-	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32954282	32958029	+	NM_000059	INTRON	0	0	7	2	5	9	9	2	5	11	4	3	1	15	1	2	2	4	1	1	1	6
NC_000013.10	32970449	32977286	-	NM_000059	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000013.10	32954264	32960419	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41209152	41215349	+	NR_027676	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000017.10	41249154	41249260	-	NR_027676	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41267796	41277198	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32954264	32959148	-	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000017.10	41226860	41228504	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32949543	32950806	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41258550	41276033	-	NR_027676	INTRON	1	0	0	2	1	0	2	5	0	4	0	1	2	4	1	0	1	3	0	1	0	2
NC_000017.10	41215968	41219624	-	NR_027676	INTRON	165	41	66	87	103	81	121	45	51	131	91	47	73	93	52	77	36	48	85	45	55	34
NC_000013.10	32954264	32977286	-	NM_000059	INTRON	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	2
NC_000013.10	32917321	32918694	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32954282	32957175	+	NM_000059	INTRON	0	0	0	2	0	0	0	4	0	4	2	0	0	0	6	1	1	0	0	0	0	2
NC_000017.10	41226509	41228504	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0
NC_000017.10	41203134	41209068	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41210383	41215349	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
NC_000013.10	32945233	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32945237	32949717	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000017.10	41229099	41231350	-	NM_007300	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32918790	32919284	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890528	32893213	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
NC_000017.10	41219712	41222875	-	NR_027676	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
NC_000013.10	32949840	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
NC_000013.10	32953652	32953937	+	NM_000059	INTRON	1	0	2	0	0	1	1	0	2	1	1	3	0	1	2	0	1	0	0	0	1	0
NC_000013.10	32941957	32944538	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41187665	41199659	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NC_000017.10	41249603	41251791	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
NC_000013.10	32938153	32944538	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
NC_000017.10	41247939	41249260	-	NR_027676	INTRON	76	12	49	42	77	46	66	29	52	91	38	40	51	55	47	24	44	28	52	17	21	43
NC_000013.10	32953621	32953937	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000017.10	41258550	41277287	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41219712	41222879	-	NR_027676	INTRON	0	0	1	0	0	0	0	1	0	4	1	1	1	1	0	0	1	0	1	1	0	0
NC_000017.10	41243049	41247862	-	NR_027676	INTRON	15	2	0	1	1	0	2	0	0	1	0	1	0	2	0	0	0	0	2	0	4	0
NC_000017.10	41223255	41226347	-	NR_027676	INTRON	125	101	59	98	103	96	138	47	109	136	124	94	79	94	68	63	85	49	79	39	59	66
NC_000013.10	32944694	32945092	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41228631	41231350	-	NR_027676	INTRON	2	5	5	3	3	0	2	2	1	2	6	6	1	4	2	3	4	4	1	3	4	3
NC_000017.10	41234592	41242960	-	NR_027676	INTRON	87	31	31	53	65	45	98	42	51	98	88	62	64	81	56	58	50	31	62	57	44	33
NC_000017.10	41249606	41251791	-	NR_027676	INTRON	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32930746	32931922	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1
NC_000013.10	32900419	32903579	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32945237	32949218	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	1	0	0	0	0	0
NC_000017.10	41246877	41256138	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41249306	41249509	-	NR_027676	INTRON	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	2
NC_000017.10	41202207	41203079	-	NR_027676	INTRON	1	0	1	1	1	2	1	0	0	1	2	1	3	0	3	0	1	3	2	2	0	3
NC_000013.10	32890664	32899216	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000013.10	32890528	32914973	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000017.10	41215968	41219625	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41243049	41243451	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32920963	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32932066	32944538	+	NM_000059	INTRON	1	0	1	2	0	1	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0
NC_000017.10	41205773	41370466	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41210386	41215349	-	NR_027676	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32890591	32945092	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32932066	32936659	-	NM_000059	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32949450	+	NM_000059	INTRON	2	1	1	0	0	3	2	0	3	4	1	2	1	2	3	5	4	4	2	4	1	4
NC_000013.10	32969070	32971034	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000017.10	41239334	41242960	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NC_000017.10	41228628	41234420	-	NR_027676	INTRON	9	13	11	19	16	11	21	15	6	26	22	10	17	23	11	11	22	7	12	11	15	13
NC_000013.10	32937670	32944552	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32937670	32944538	+	NM_000059	INTRON	57	25	39	55	39	77	95	37	64	147	99	66	81	73	60	54	41	66	40	32	33	74
NC_000017.10	41187665	41197678	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41254649	41446039	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32891103	33095881	-	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32949098	+	NM_000059	INTRON	0	0	1	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1
NC_000017.10	41215390	41215890	+	NR_027676	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32936830	32944538	+	NM_000059	INTRON	0	0	3	0	0	0	1	0	1	5	0	0	0	4	1	0	0	0	3	0	1	0
NC_000013.10	32900750	32903583	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000013.10	32889705	32890558	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32912042	32915258	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41201211	41202078	-	NR_027676	INTRON	0	2	2	0	0	2	1	0	1	1	1	0	0	2	2	1	1	0	2	0	0	2
NC_000017.10	41258550	41262481	-	NM_007297	INTRON	2	1	0	1	1	0	0	0	5	1	0	0	0	0	0	0	0	2	0	0	0	0
NC_000013.10	32903629	32905055	+	NM_000059	INTRON	18	4	27	33	18	30	33	20	32	58	34	16	32	45	30	23	17	36	27	25	27	34
NC_000013.10	32929425	32930577	+	NM_000059	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32944694	32949479	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000017.10	41223255	41234420	-	NR_027676	INTRON	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32954143	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41243049	41249260	-	NR_027676	INTRON	5	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0
NC_000013.10	32932066	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
NC_000017.10	41246877	41249260	-	NR_027676	INTRON	0	0	0	1	2	1	0	0	0	2	0	0	2	2	0	12	0	1	0	0	0	0
NC_000013.10	32964999	32968825	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32893462	32903579	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
