chr	start	end	strand	NM	intron	dedub.puro-RNA11-0048-1_S2_R.txt	dedub.puro-RNA11-0050-1_S3_R.txt	dedub.puro-RNA11-0052-1_S4_R.txt	dedub.puro-RNA11-0054-1_S5_R.txt	dedub.puro-RNA11-0056-1_S6_R.txt	dedub.puro-RNA11-0058-1_S7_R.txt	dedub.puro-RNA11-0060-1_S8_R.txt	dedub.puro-RNA11-0062-1_S9_R.txt	dedub.puro-RNA11-0068-1_S10_R.txt	dedub.puro-RNA11-0070-1_S11_R.txt	dedub.puro-RNA11-0072-1_S12_R.txt	dedub.puro-RNA11-0074-1_S13_R.txt	dedub.puro-RNA11-0076-1_S14_R.txt	dedub.puro-RNA11-0078-1_S15_R.txt	dedub.puro-RNA17-50741-1_S1_R.txt	dedub.wt-RNA11-0047-1_S17_R.txt	dedub.wt-RNA11-0049-1_S18_R.txt	dedub.wt-RNA11-0051-1_S19_R.txt	dedub.wt-RNA11-0053-1_S20_R.txt	dedub.wt-RNA11-0055-1_S21_R.txt	dedub.wt-RNA11-0057-1_S22_R.txt	dedub.wt-RNA11-0059-1_S23_R.txt	dedub.wt-RNA11-0061-1_S24_R.txt	dedub.wt-RNA11-0067-1_S25_R.txt	dedub.wt-RNA11-0069-1_S26_R.txt	dedub.wt-RNA11-0071-1_S27_R.txt	dedub.wt-RNA11-0073-1_S28_R.txt	dedub.wt-RNA11-0075-1_S29_R.txt	dedub.wt-RNA11-0077-1_S30_R.txt	dedub.wt-RNA17-50740-1_S16_R.txt	dedub.wt-RNAIVS10-2AG-1_S12_R.txt	puro-RNAIVS10-2pAG-1_S11_R.txt
NC_000017.10	41228628	41242960	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41271282	41276033	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276119	41277293	-	NM_007294	INTRON	0	0	0	0	2	0	0	14	26	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0
NC_000017.10	41243049	41249260	+	NM_007294	INTRON	140	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	86
NC_000017.10	41197205	41197226	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32971071	33190700	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000013.10	32936753	32937374	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0
NC_000013.10	32890591	32903579	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890144	32890557	-	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41201166	41203127	+	NM_007294	INTRON	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41243054	41243456	-	NM_007294	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32929024	32936683	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32937553	32974299	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
NC_000013.10	32972412	33182912	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32936830	32974311	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32915331	32920962	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NC_000013.10	32953502	32968997	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32932004	32953497	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32937322	32937350	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
NC_000013.10	32900750	32903579	-	NM_000059	INTRON	2593	3915	400	6018	4833	1832	1980	5811	2686	2759	4937	2831	4247	3490	6272	1063	2926	1534	2042	2169	834	1479	1392	1681	1960	2114	1306	1616	3087	2497	1383	1751
NC_000013.10	32972411	33202028	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41226407	41226434	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41267796	41271137	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	1	49	34	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0
NC_000017.10	41256205	41256962	+	NM_007294	INTRON	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276131	41277287	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41243650	41243728	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000017.10	41215967	41231528	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41243476	41400458	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32915333	32928997	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890591	32929007	-	NM_000059	INTRON	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41258550	41267742	-	NM_007294	INTRON	2110	3361	580	4325	3622	1682	2596	3017	3356	2388	1983	2700	2576	1546	2060	668	2269	1546	2603	2369	1180	2592	2224	2397	1372	2120	1935	2256	1640	1028	2999	3586
NC_000013.10	32889703	32889748	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41231388	41407412	+	NM_007300	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000017.10	41251897	41256138	+	NM_007294	INTRON	446	706	189	1367	1662	706	1394	1168	1000	1505	1652	847	1149	826	921	405	577	247	1114	1123	437	1029	580	1300	540	773	410	1358	649	652	1328	1124
NC_000013.10	32937414	33017305	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41197405	41265162	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32973593	33128550	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41243472	41243880	-	NM_007294	INTRON	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32905099	32906991	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41228629	41647618	-	NM_007294	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32972433	32972590	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32930608	33084021	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32896127	32899272	-	NM_000059	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32972357	33227990	+	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41223215	41226449	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41246359	41246857	+	NM_007294	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41226374	41534050	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41199727	41201136	-	NM_007294	INTRON	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32929005	32937397	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0
NC_000017.10	41244363	41244405	-	NM_007294	INTRON	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
NC_000013.10	32893329	32947345	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	1	0	0	0
NC_000017.10	41276133	41442405	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32972340	33175147	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890664	32893219	-	NM_000059	INTRON	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0
NC_000017.10	41276119	41277198	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0
NC_000013.10	32968859	32968975	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
NC_000017.10	41277218	41477577	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41223108	41226463	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32893312	33100459	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41246877	41247862	-	NM_007294	INTRON	3089	181	256	1885	2237	1297	1036	2133	1609	2133	2298	1528	1901	1819	2405	575	245	1365	1084	1023	513	604	1554	858	1047	1393	1321	1615	625	1570	954	1163
NC_000017.10	41219642	41223008	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41228624	41414331	+	NM_007298	INTRON	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32918770	32921014	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
NC_000013.10	32893315	32893441	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41249320	41251790	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32972488	33508148	-	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32929161	32944553	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32905148	33043840	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32892085	32971135	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32936679	32944538	+	NM_000059	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32910442	33078173	+	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41249321	41251790	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32906470	32995418	+	NM_000059	INTRON	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41198020	41294010	+	NM_007294	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41219663	41226120	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32972327	32972397	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0
NC_000017.10	41243488	41512043	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900718	32994137	+	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32907032	32953475	-	NM_000059	INTRON	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41223192	41223230	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900680	33125929	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32950807	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32972844	32973846	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0
NC_000017.10	41245515	41322472	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890664	32893213	+	NM_000059	INTRON	11893	15460	1470	22514	14196	9794	17951	20287	8691	17594	17107	12912	14684	14539	22337	4926	8103	4890	11932	7714	5495	8408	12126	8592	8908	11524	6690	10145	8396	11460	6923	7055
NC_000013.10	32888355	32930616	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41223196	41223237	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41244931	41246869	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32893327	33127225	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41251966	41256138	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32889804	32890514	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41197422	41203090	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41246820	41246852	-	NM_007294	INTRON	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32950928	32953453	+	NM_000059	INTRON	2055	3117	531	3991	4176	1850	2543	6294	1952	4892	4937	2789	2321	2710	4352	603	1529	827	2810	1570	812	1379	3092	1845	2041	1988	1358	1036	1865	1910	1883	1966
NC_000017.10	41197819	41203079	+	NM_007294	INTRON	0	0	0	0	0	0	0	287	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276925	41277293	+	NR_027676	INTRON	0	0	0	0	106	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32930588	32936687	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
NC_000017.10	41272870	41277001	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
NC_000017.10	41223151	41226370	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32937581	32973257	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41249306	41251791	-	NM_007294	INTRON	1538	1553	363	5085	4023	736	2363	2600	3234	3219	2584	1500	2484	1686	4217	819	1068	1518	3504	2793	952	1697	2604	2665	1636	2284	1045	2908	814	2546	1674	2663
NC_000013.10	32907217	32911671	-	NM_000059	INTRON	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41188473	41234486	-	NM_007294	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32950931	32953456	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32953493	32971076	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32906443	32906699	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41243034	41471815	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41234592	41251791	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	439	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32953652	32953940	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256973	41276033	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41276943	41378623	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32898408	32906831	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32972478	33226244	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000017.10	41242370	41242960	-	NM_007294	INTRON	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32945151	32978062	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32921006	33013648	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890664	32893047	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0
NC_000013.10	32953652	32953886	+	NM_000059	INTRON	1482	1880	101	1916	917	418	1384	2161	1634	2081	1793	1698	1691	939	1869	230	473	318	1051	633	612	764	898	911	895	534	318	952	1281	1455	719	953
NC_000013.10	32893462	32903579	-	NM_000059	INTRON	0	0	0	0	0	0	36	0	225	0	0	0	0	91	0	0	128	0	203	0	0	0	0	0	0	0	186	0	0	25	2	0
NC_000013.10	32944674	32945181	-	NM_000059	INTRON	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32972336	32972406	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32900419	32900644	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
NC_000013.10	32973169	32995130	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41243049	41251791	-	NM_007294	INTRON	0	66	0	0	0	0	458	0	0	0	0	2	1	0	0	0	0	0	64	0	0	406	0	0	41	0	0	0	0	0	355	240
NC_000013.10	32900418	32900635	-	NM_000059	INTRON	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890587	32910631	+	NM_000059	INTRON	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41226538	41277287	+	NM_007298	INTRON	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890664	32899212	+	NM_000059	INTRON	81	106	2	19	353	140	116	44	257	299	0	210	223	50	222	16	207	80	69	16	0	0	263	0	288	67	29	16	191	133	0	20
NC_000013.10	32953923	32953971	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0
NC_000017.10	41196524	41243005	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256926	41542147	+	NM_007294	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256280	41256886	-	NM_007294	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32950806	-	NM_000059	INTRON	807	2504	200	3676	2240	1082	4236	4413	1175	3130	2873	2742	1657	1916	3321	386	1159	1549	2842	1562	348	1876	1995	1586	1631	2170	1504	1712	1450	2348	1556	1224
NC_000013.10	32889625	32889672	-	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32910548	32953716	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32972378	33197656	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000017.10	41223061	41345550	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32914119	32930620	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32969015	33122690	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
