chr	start	end	strand	NM	intron	10_2X_S10.txt	11_S1.txt	12_S2.txt	1_2X_S1.txt	13_S3.txt	14_S4.txt	15_S5.txt	16_S6.txt	17_S7.txt	18_S8.txt	19_S9.txt	20_S10.txt	2_2X_S2.txt	3_2X_S3.txt	4_2X_S4.txt	5_2X_S5.txt	6_2X_S6.txt	7_2X_S7.txt	8_2X_S8.txt	9_2X_S9.txt
NC_000017.10	41231504	41847160	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41202207	41203079	-	NM_007294	INTRON	2	0	2	2	1	0	0	4	4	0	1	3	7	5	6	0	4	2	4	1
NC_000013.10	32939660	32944538	+	NM_000059	INTRON	0	0	0	0	0	0	2	0	0	0	2	3	0	0	2	0	0	0	2	3
NC_000013.10	32903629	32918694	+	NM_000059	INTRON	0	2	1	2	0	1	0	0	2	3	0	2	0	0	0	0	0	0	0	0
NC_000013.10	32929425	32930564	+	NM_000059	INTRON	45	17	21	82	39	19	36	22	74	74	42	131	137	45	60	22	38	36	28	40
NC_000017.10	41276132	41277293	-	NR_027676	INTRON	0	0	0	2	2	0	2	0	0	0	0	0	0	2	2	2	0	0	0	0
NC_000013.10	32937670	32939562	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0
NC_000013.10	32903392	32903579	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
NC_000017.10	41243575	41243597	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32915333	32918697	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
NC_000013.10	32903629	32920963	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NC_000017.10	41256973	41276033	-	NM_007294	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32932066	32936728	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NC_000013.10	32932066	32944538	+	NM_000059	INTRON	4	0	0	5	0	1	1	3	1	10	4	15	2	1	5	3	2	3	1	5
NC_000017.10	41267796	41277287	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NC_000013.10	32936830	32945092	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0
NC_000013.10	32890591	32945092	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32932066	32936659	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
NC_000013.10	32900287	32900378	+	NM_000059	INTRON	11	4	3	9	6	1	1	0	25	66	43	17	22	13	8	5	9	6	4	6
NC_000013.10	32945237	32949450	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	2	0	3
NC_000013.10	32936679	32953940	+	NM_000059	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32950688	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32944965	32945092	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41228628	41234420	-	NM_007294	INTRON	3	0	2	0	0	2	2	2	4	2	4	4	5	3	5	5	5	4	9	0
NC_000017.10	41249306	41256138	-	NM_007294	INTRON	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32937670	32944538	+	NM_000059	INTRON	48	18	9	57	28	14	36	26	87	79	33	110	101	33	43	27	23	46	32	52
NC_000017.10	41259312	41339429	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32890664	32893288	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32949098	+	NM_000059	INTRON	7	2	0	8	5	1	1	9	7	12	8	6	14	7	1	7	5	0	5	5
NC_000017.10	41201211	41201798	-	NM_007294	INTRON	3	0	2	0	2	1	0	1	0	1	2	3	0	2	8	6	2	2	0	4
NC_000013.10	32936830	32944538	+	NM_000059	INTRON	6	0	4	14	5	4	4	5	17	21	9	9	21	11	9	5	18	11	5	5
NC_000013.10	32969070	32970127	+	NM_000059	INTRON	0	0	4	4	0	0	2	1	0	2	2	0	1	1	0	0	2	2	0	0
NC_000013.10	32969070	32971034	+	NM_000059	INTRON	99	30	43	119	72	40	62	86	152	104	52	193	163	89	107	55	80	77	66	91
NC_000013.10	32903629	32910401	+	NM_000059	INTRON	1	0	2	2	0	1	0	1	1	6	9	5	9	2	2	1	1	2	5	2
NC_000017.10	41201211	41202078	-	NM_007294	INTRON	3	0	0	0	1	2	1	0	1	0	4	6	0	4	2	0	0	0	6	0
NC_000013.10	32903629	32905055	+	NM_000059	INTRON	0	5	4	3	2	0	3	1	8	21	22	9	13	4	3	3	3	5	4	10
NC_000017.10	41215390	41215890	-	NM_007294	INTRON	14	4	3	5	10	4	15	11	21	10	13	22	36	22	14	23	27	10	39	7
NC_000017.10	41219712	41222944	-	NM_007294	INTRON	12	4	4	14	15	8	9	9	27	11	20	44	32	40	21	22	30	26	48	10
NC_000013.10	32932066	32936659	+	NM_000059	INTRON	18	8	19	39	23	12	20	31	44	51	30	69	82	27	40	20	24	33	30	19
NC_000017.10	41271282	41276033	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
NC_000017.10	41197819	41199659	-	NM_007294	INTRON	15	0	4	13	15	10	8	16	14	3	9	35	20	13	30	19	25	7	29	1
NC_000017.10	41267796	41268453	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
NC_000013.10	32932066	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NC_000013.10	32899321	32899702	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
NC_000013.10	32890664	32891918	+	NM_000059	INTRON	2	1	0	9	4	1	0	0	2	0	0	7	0	0	5	0	0	1	1	2
NC_000013.10	32930746	32944538	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
