chr	start	end	strand	NM	intron	Qbirk-00001-Tumor-RNA_A00559_0074.count	Qbirk-00002-Tumor-RNA_A00559_0074.count	Qbirk-00003-Tumor-RNA_A00559_0074.count	Qbirk-00004-Tumor-RNA_A00559_0074.count	Qbirk-00005-Tumor-RNA_A00559_0074.count	Qbirk00006-00006-Tumor-RNA_A00559_0074.count	Qbirk00007-00007-Tumor-RNA_A00559_0074.count	Qbirk00008-00008-Tumor-RNA_A00559_0074.count	Qbirk00009-00009-Tumor-RNA_A00559_0074.count	Qbirk00010-00010-Tumor-RNA_A00559_0074.count	Qbirk00011-00011-Tumor-RNA_A00559_0075.count	Qbirk00012-00012-Tumor-RNA_A00559_0075.count	Qbirk00013-00013-Tumor-RNA_A00559_0075.count	Qbirk00014-00014-Tumor-RNA_A00559_0075.count	Qbirk00015-00015-Tumor-RNA_A00559_0075.count	Qbirk00016-00016-Tumor-RNA_A00559_0075.count	Qbirk00017-00017-Tumor-RNA_A00559_0075.count	Qbirk00018-00018-Tumor-RNA_A00559_0075.count	Qbirk00019-00019-Tumor-RNA_A00559_0075.count
NC_000013.10	32890664	32903579	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41209152	41219624	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32969030	32970359	-	NM_000059	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41209152	41210349	-	NR_027676	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41215968	41217782	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32950928	32953937	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41245086	41245336	-	NR_027676	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41209152	41210240	-	NR_027676	INTRON	0	1	0	2	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0
NC_000017.10	41247939	41251791	-	NR_027676	INTRON	0	11	4	1	1	3	0	2	1	1	0	2	6	0	0	0	7	0	7
NC_000013.10	32899321	32900237	+	NM_000059	INTRON	65	153	56	64	68	102	51	25	41	49	111	96	112	72	94	46	164	140	73
NC_000013.10	32953927	32954058	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
NC_000013.10	32915333	32918694	+	NM_000059	INTRON	31	73	43	38	27	55	40	21	45	27	60	67	41	36	52	31	96	72	27
NC_000013.10	32890664	32893219	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000013.10	32907524	32910401	+	NM_000059	INTRON	19	81	59	56	53	58	47	44	21	21	41	59	64	46	66	10	55	107	77
NC_000017.10	41215968	41228504	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NC_000013.10	32971172	33187843	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000013.10	32970446	32977044	-	NM_000059	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41267796	41271137	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	2	0	0
NC_000013.10	32899321	32900378	+	NM_000059	INTRON	0	0	1	0	0	0	2	23	1	0	2	0	0	0	0	0	1	0	0
NC_000017.10	41256278	41256893	-	NR_027676	INTRON	0	1	0	0	0	4	0	0	0	0	1	2	1	0	0	0	0	0	2
NC_000017.10	41228631	41242960	-	NM_007300	INTRON	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000013.10	32893462	32899212	+	NM_000059	INTRON	44	110	50	54	38	63	44	46	46	15	74	64	59	47	70	31	119	112	68
NC_000017.10	41231087	41377556	-	NM_007300	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41215968	41222944	-	NR_027676	INTRON	0	3	0	0	0	1	1	0	0	0	1	3	0	0	0	0	2	0	1
NC_000013.10	32889804	32893213	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000017.10	41201211	41203073	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000013.10	32954282	32958029	+	NM_000059	INTRON	0	0	0	0	5	4	5	2	0	1	6	8	3	0	1	0	2	9	2
NC_000013.10	32954264	32960419	-	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
NC_000017.10	41209152	41215349	+	NR_027676	INTRON	1	0	2	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0
NC_000013.10	32936723	32936754	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000013.10	32897384	33024556	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NC_000017.10	41258550	41276033	-	NR_027676	INTRON	1	4	0	0	1	1	2	2	1	0	1	0	1	2	0	0	0	0	1
NC_000017.10	41215968	41219624	-	NR_027676	INTRON	56	136	54	60	53	52	42	48	69	54	87	89	125	100	139	85	142	115	97
NC_000013.10	32954282	32957175	+	NM_000059	INTRON	0	4	0	0	0	0	0	2	0	0	0	0	0	2	2	1	6	0	0
NC_000013.10	32890528	32899212	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000017.10	41203134	41209068	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NC_000017.10	41210383	41215349	-	NR_027676	INTRON	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32945237	32949717	+	NM_000059	INTRON	0	0	0	1	0	0	1	0	2	5	0	0	0	0	0	0	1	0	0
NC_000013.10	32890528	32893213	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000017.10	41219712	41222875	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
NC_000013.10	32953652	32953937	+	NM_000059	INTRON	0	4	3	1	3	0	4	2	3	0	0	2	2	1	0	0	4	0	1
NC_000013.10	32941957	32944538	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
NC_000013.10	32899223	32899275	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NC_000017.10	41197819	41199654	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	1	0	1
NC_000017.10	41249603	41251791	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41247939	41249260	-	NR_027676	INTRON	65	84	52	59	58	68	43	52	57	58	92	113	92	143	95	60	79	132	86
NC_000013.10	32953621	32953937	+	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41257976	41258472	-	NM_007297	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41219712	41222879	-	NR_027676	INTRON	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41223255	41226347	-	NR_027676	INTRON	68	157	62	62	66	119	86	99	92	71	113	107	125	131	149	120	168	160	90
NC_000017.10	41243049	41247862	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	5	0	0	0
NC_000017.10	41228631	41231350	-	NR_027676	INTRON	0	1	1	2	3	5	3	2	0	4	1	5	2	2	7	2	3	0	4
NC_000017.10	41234592	41242960	-	NR_027676	INTRON	40	113	57	48	43	71	50	68	53	46	55	69	94	59	95	50	139	106	81
NC_000017.10	41226493	41249265	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NC_000013.10	32930746	32931922	+	NM_000059	INTRON	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900419	32903579	+	NM_000059	INTRON	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000017.10	41246877	41256138	-	NR_027676	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32949218	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000017.10	41249306	41249509	-	NR_027676	INTRON	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	1	0	0
NC_000017.10	41202207	41203079	-	NR_027676	INTRON	2	1	0	0	0	0	5	3	0	2	1	4	2	1	0	0	3	0	1
NC_000013.10	32890664	32899216	+	NM_000059	INTRON	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32903739	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41184758	41197051	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41256973	41276033	-	NM_007297	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32932066	32944538	+	NM_000059	INTRON	0	1	1	0	0	1	2	2	0	0	0	0	0	2	8	0	0	0	0
NC_000017.10	41210386	41215349	-	NR_027676	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41205773	41370466	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32932066	32936659	-	NM_000059	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0
NC_000013.10	32945237	32949450	+	NM_000059	INTRON	0	1	2	4	2	7	0	1	1	1	6	3	3	0	3	0	1	1	2
NC_000017.10	41228628	41234420	-	NR_027676	INTRON	18	47	11	11	19	13	4	21	12	5	3	20	27	9	29	19	23	16	25
NC_000017.10	41221142	41222944	-	NR_027676	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41187665	41197678	-	NR_027676	INTRON	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32937670	32944538	+	NM_000059	INTRON	15	94	46	38	41	70	38	51	57	32	50	57	74	26	44	44	90	96	37
NC_000017.10	41259312	41299438	+	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32915332	32920954	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
NC_000013.10	32921033	32928997	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NC_000017.10	41209143	41215893	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32949098	+	NM_000059	INTRON	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0
NC_000017.10	41215390	41215890	+	NR_027676	INTRON	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0
NC_000013.10	32936830	32944538	+	NM_000059	INTRON	0	0	0	2	0	2	0	0	0	0	0	3	0	2	2	0	5	0	0
NC_000013.10	32957426	33087098	-	NM_000059	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000013.10	32900750	32903583	+	NM_000059	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41269227	41379924	+	NR_027676	INTRON	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32919379	32920963	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	1	1	0
NC_000017.10	41258550	41262481	-	NM_007297	INTRON	0	7	0	0	0	1	0	0	1	0	2	1	1	1	0	2	2	1	0
NC_000017.10	41201211	41202078	-	NR_027676	INTRON	0	1	1	1	1	0	0	0	0	1	0	0	3	0	0	0	2	2	1
NC_000013.10	32903629	32905055	+	NM_000059	INTRON	22	86	26	53	42	60	29	37	30	27	43	63	89	61	58	40	86	103	70
NC_000017.10	41215968	41226347	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_000013.10	32944694	32949479	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000013.10	32950823	32972347	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000017.10	41223255	41234420	-	NR_027676	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0
NC_000017.10	41243049	41249260	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0
NC_000013.10	32932066	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41246877	41249260	-	NR_027676	INTRON	0	3	0	0	0	0	0	1	2	1	1	0	0	2	1	0	42	1	0
NC_000013.10	32893462	32903579	+	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2
