chr	start	end	strand	NM	intron	10_2X_S10_R.txt	1_2X_S1_R.txt	2_2X_S2_R.txt	3_2X_S3_R.txt	4_2X_S4_R.txt	5_2X_S5_R.txt	6_2X_S6_R.txt	7_2X_S7_R.txt	8_2X_S8_R.txt	9_2X_S9_R.txt
chr17	1543036	1543741	-	NR_028075	INTRON	0	0	0	2	0	0	1	0	1	1
chr20	34309798	34317383	-	NM_001242599	INTRON	0	0	0	1	0	0	0	0	0	0
chr6	107011801	107016346	+	NM_001624	INTRON	486	553	3	537	438	190	284	239	564	253
chr17	74527773	74546943	-	NM_134268	INTRON	0	1	0	0	2	2	1	1	0	1
chr6	116439108	116542216	+	NM_000493	INTRON	149	112	0	152	142	166	137	111	177	150
chr11	118307659	118307977	+	NM_001197104	INTRON	2	2	0	0	4	1	11	0	1	0
chr22	38276853	38282771	+	NM_001242923	INTRON	0	0	0	0	0	0	0	0	1	0
chrX	40593130	40594449	-	NM_004229	INTRON	0	3	0	0	0	0	1	4	0	0
chr18	33620828	33634939	-	NM_001303411	INTRON	0	0	0	0	0	0	0	1	0	0
chr6	122777723	122777745	-	NM_020755	INTRON	0	0	0	0	1	0	0	0	0	0
chr1	41494417	41499654	+	NM_001031694	INTRON	0	0	0	0	0	0	0	2	0	0
chr5	115205825	115249058	+	NM_001002924	INTRON	10	19	0	20	8	8	1	6	17	6
chr12	49943423	49946582	+	NM_001314030	INTRON	0	0	0	0	0	0	0	0	2	0
chr2	86259505	86259747	-	NM_015425	INTRON	15	23	0	9	9	11	5	13	12	5
chr10	28824686	28824838	+	NM_016628	INTRON	208	390	2	253	315	155	232	432	166	177
chr1	21107033	21113006	-	NM_016287	INTRON	11	13	0	5	26	22	16	25	31	14
chr5	64907708	64909924	-	NM_001656	INTRON	12	13	0	8	5	3	9	24	2	6
chr13	29237724	29249553	+	NM_015932	INTRON	0	0	0	0	0	0	0	0	0	2
chr12	104336574	104341088	+	NM_003299	INTRON	0	0	0	0	1	0	0	0	0	0
chr9	135894966	135896299	+	NR_132980	INTRON	0	0	0	1	0	0	0	0	0	0
chrX	153994199	153994539	+	NM_001142463	INTRON	0	2	0	0	2	0	0	0	0	0
chr5	145649147	145650013	+	NM_018989	INTRON	0	0	0	4	1	0	0	0	0	0
chr1	160582370	160598604	-	NM_001330754	INTRON	0	2	0	0	0	0	0	0	0	0
chr17	973321	975853	-	NM_001092	INTRON	0	0	0	0	0	0	0	0	0	1
chr6	97616116	97618622	-	NM_198468	INTRON	0	0	0	0	0	2	1	0	0	0
chr2	179393154	179394967	-	NM_001256850	INTRON	0	0	0	2	0	0	0	0	0	0
chr12	114395855	114397016	-	NM_001146698	INTRON	89	121	0	91	171	103	151	71	209	118
chr2	234164841	234171613	+	NM_001190266	INTRON	0	2	0	0	0	3	4	0	0	0
chr4	25270825	25291990	+	NM_018323	INTRON	1	3	0	1	0	4	1	0	3	1
chr2	96947660	96948769	-	NM_014014	INTRON	0	0	0	0	0	0	0	2	0	0
chr17	48460596	48462478	+	NM_018509	INTRON	2	7	0	0	0	0	2	6	4	2
chr3	12877566	12877591	-	NM_000994	INTRON	0	0	0	0	0	0	0	0	1	0
chr1	174221911	174228111	+	NM_014857	INTRON	0	0	0	0	2	0	0	0	0	0
chr11	126136173	126136363	-	NM_001177842	INTRON	12	12	0	8	13	8	7	6	9	5
chr9	35066738	35066776	-	NM_007126	INTRON	0	0	0	0	0	0	0	0	2	0
chr9	127119078	127167700	-	NR_027406	INTRON	0	0	0	0	0	0	0	0	0	2
chr1	161008463	161008669	-	NM_001113205	INTRON	157	248	0	332	325	216	266	224	482	369
chr18	8625992	8633186	+	NM_001025300	INTRON	0	0	0	0	0	0	0	0	0	1
chr14	91143004	91144167	-	NM_001010854	INTRON	0	0	0	1	0	0	0	0	0	0
chr19	35769977	35770075	+	NM_001321150	INTRON	0	0	0	0	0	0	0	0	1	0
chr2	37450540	37454686	-	NM_005760	INTRON	0	0	0	2	2	2	0	0	0	2
chr1	231396429	231396536	+	NM_001316350	INTRON	4	11	0	7	3	0	11	12	3	4
chr15	55648607	55664082	-	NM_004748	INTRON	0	5	0	2	0	0	0	1	1	0
chr3	196664502	196666121	-	NM_001308036	INTRON	0	0	0	0	4	1	1	0	4	1
chr10	12288664	12291579	+	NM_006023	INTRON	4	8	0	12	16	17	6	18	10	18
chr11	118888149	118888238	-	NM_001028	INTRON	0	0	0	0	0	0	0	0	2	0
chr11	102188302	102192567	+	NM_001165	INTRON	32	51	1	35	36	32	55	24	29	18
chr20	61711774	61713533	+	NR_033370	INTRON	0	0	0	0	0	0	0	0	2	0
chr1	167974031	167992225	+	NM_001198956	INTRON	9	17	0	29	33	35	50	20	50	29
chr1	27175242	27176791	+	NM_032283	INTRON	0	0	0	0	0	0	1	0	0	0
chr4	128878745	128887051	-	NM_152778	INTRON	2	0	0	0	0	0	0	0	0	1
chr12	110341019	110341741	+	NM_001143852	INTRON	23	35	0	24	48	39	43	27	44	25
chr10	113915811	113916096	-	NM_001244949	INTRON	0	0	0	0	0	0	0	1	0	0
chrX	102025348	102027233	+	NR_038988	INTRON	0	0	0	0	2	0	0	0	0	0
chr13	46730705	46733733	-	NM_002298	INTRON	2	5	0	3	4	2	22	7	6	6
chr12	40442012	40446105	-	NM_052885	INTRON	0	0	0	0	0	2	0	0	0	0
chr11	77319630	77320835	-	NM_173039	INTRON	0	0	0	2	0	0	0	0	0	0
chr4	843856	858909	-	NM_001318134	INTRON	0	2	0	2	0	0	0	0	0	0
chr3	171851285	171944660	+	NM_001135095	INTRON	0	0	0	0	0	0	0	0	0	1
chr2	110035188	110035994	+	NM_001099289	INTRON	0	0	0	0	0	0	0	0	2	0
chr2	174945976	175006552	-	NM_001328688	INTRON	2	0	0	0	0	0	0	0	0	0
chr17	37915021	37915837	-	NM_001257408	INTRON	1	0	0	0	2	0	0	0	0	2
chrX	62898452	62917127	-	NM_001173479	INTRON	0	0	0	0	0	0	1	0	0	0
chrUn_gl000220	113647	157532	+	NR_046235	INTRON	0	0	0	0	0	0	1	0	0	0
chr1	39379466	39384866	+	NM_001304746	INTRON	0	0	0	0	0	0	0	2	0	0
chr8	26497532	26500954	+	NM_001197293	INTRON	0	0	0	0	0	0	0	0	4	1
chr16	3352009	3353758	-	NM_033208	INTRON	2	0	0	2	2	0	0	0	1	0
chrX	24020242	24024105	-	NM_030624	INTRON	2	0	0	4	1	0	5	1	4	0
chr19	7615993	7618757	+	NM_001166111	INTRON	0	0	0	0	0	0	0	0	0	2
chr8	141739519	141749116	-	NR_029892	INTRON	0	0	0	1	0	0	0	0	0	0
chr16	2093727	2093828	-	NM_001318193	INTRON	0	0	0	1	0	0	2	0	0	0
chr4	169206086	169206543	-	NM_017631	INTRON	2	3	0	3	7	3	9	3	4	4
chr22	42154537	42163579	+	NM_152513	INTRON	0	1	0	0	0	0	0	0	0	0
chr17	911504	912918	-	NM_001092	INTRON	0	0	0	0	0	0	0	0	1	0
chrX	48435439	48435466	+	NM_006743	INTRON	0	0	0	0	0	0	0	2	0	0
chrX	135303122	135304551	-	NM_001173516	INTRON	98	131	0	87	171	73	140	92	147	91
chr16	66824922	66830670	-	NM_001136505	INTRON	0	0	0	0	0	0	0	2	0	0
chr16	20920100	20922504	+	NM_001302835	INTRON	0	0	0	2	0	0	0	0	0	0
chr12	88512918	88513890	-	NM_025114	INTRON	2	0	0	0	0	0	0	0	0	0
chr19	39328119	39328234	-	NM_001005335	INTRON	3	2	0	0	0	2	0	2	2	1
chr14	20852391	20852758	-	NM_001319035	INTRON	6	7	0	8	2	8	0	15	5	11
chr11	82894115	82894248	+	NM_001346413	INTRON	0	0	0	0	0	0	2	0	0	0
chr15	59978027	59981333	-	NM_001320675	INTRON	0	0	0	1	2	0	0	0	0	0
chr16	28852450	28900659	+	NM_003321	INTRON	0	0	0	0	0	0	0	0	0	2
chr5	65372236	65372702	-	NM_001006600	INTRON	0	0	0	0	0	2	0	0	0	0
chr21	47649180	47656137	+	NR_110567	INTRON	0	2	0	0	0	0	0	0	1	2
chr1	174721492	174774483	+	NM_001243765	INTRON	0	0	0	0	0	2	0	0	0	0
chr8	135490964	135521861	+	NM_001029939	INTRON	0	0	0	3	0	0	0	1	0	0
chr17	34904250	35034103	+	NM_024835	INTRON	0	0	0	0	0	0	0	2	0	0
chr1	153955704	153955758	-	NM_001272038	INTRON	0	0	0	0	1	0	0	0	0	0
chr22	29966521	29966619	-	NM_001202502	INTRON	0	0	0	0	0	0	0	0	1	0
chr6	74227637	74228223	-	NM_001402	INTRON	0	0	0	0	0	0	1	0	0	0
chr2	176835145	176835491	-	NM_001305008	INTRON	2	0	0	0	0	0	0	0	0	0
chr20	57610181	57611525	+	NM_001256403	INTRON	0	0	0	0	2	0	0	0	0	0
chr19	10385704	10394130	+	NM_000201	INTRON	0	0	0	4	0	0	0	0	2	0
chr13	31037831	31039976	-	NM_001313892	INTRON	0	0	0	2	0	0	0	0	0	0
chr3	87295058	87296541	+	NM_001244644	INTRON	0	2	0	0	0	0	0	0	0	0
chr10	16509209	16513875	+	NM_030664	INTRON	1	0	0	0	0	0	0	0	1	1
chr11	6484846	6486794	-	NM_001248006	INTRON	0	0	0	0	2	0	0	1	2	2
chr12	15100883	15103353	-	NR_135637	INTRON	0	0	0	4	2	0	0	0	0	0
chr16	4641785	4642305	+	NM_001145011	INTRON	0	0	0	0	0	0	0	0	0	1
chr15	48458345	48459545	-	NM_001301210	INTRON	0	0	0	0	0	0	0	0	1	0
chr13	43641919	43659933	+	NM_013238	INTRON	0	0	0	0	0	0	0	0	0	1
chr12	120208615	120208687	-	NM_001206999	INTRON	0	2	0	0	0	0	0	0	0	0
chr7	92343571	92354939	-	NM_001145306	INTRON	0	1	0	0	0	0	1	0	2	0
chr20	2846141	2846900	+	NM_022575	INTRON	0	1	0	0	0	0	0	0	0	0
chr1	202129248	202133042	+	NM_002832	INTRON	0	3	0	0	0	2	0	2	1	1
chr15	62199589	62202375	-	NM_001018088	INTRON	1	0	0	2	2	0	0	0	0	0
chr10	76907007	76910271	+	NM_001174156	INTRON	1	1	0	4	0	3	3	2	1	4
chr9	72965387	72972462	+	NM_015110	INTRON	0	0	0	2	0	0	0	0	0	0
chr11	33757939	33783299	-	NM_000611	INTRON	2	3	0	4	2	0	6	3	7	0
chr15	90129173	90135277	+	NM_001308025	INTRON	0	4	0	10	2	3	4	1	10	0
chr16	2121935	2122849	+	NM_000548	INTRON	2	0	0	0	0	0	0	0	0	0
chr14	58718960	58724462	-	NM_002788	INTRON	0	0	0	0	0	0	2	0	0	0
chr6	90039621	90045020	-	NM_016021	INTRON	0	0	0	0	0	0	0	0	1	0
chr19	49119141	49119165	-	NM_000979	INTRON	0	0	0	2	0	0	0	0	0	0
chr18	47017953	47018130	-	NM_001035006	INTRON	37	83	0	44	58	21	26	45	46	25
chr12	6635781	6636056	+	NM_014865	INTRON	85	83	1	142	138	90	125	76	121	48
chr4	17583437	17584100	+	NM_015907	INTRON	0	0	0	0	0	0	0	0	1	0
chr11	68338572	68341543	+	NM_001164160	INTRON	0	0	0	0	0	0	1	0	0	0
chr11	57414267	57414371	-	NM_145008	INTRON	0	0	0	0	0	0	1	0	0	0
chr19	30448979	30462099	+	NM_001252641	INTRON	0	0	0	0	0	1	2	0	0	0
chr12	48105558	48107057	-	NM_001172439	INTRON	0	1	0	1	2	0	3	1	0	0
chr19	7895267	7911385	+	NM_145245	INTRON	0	0	0	0	0	0	2	0	2	0
chr17	38324670	38325524	+	NM_007359	INTRON	0	0	0	0	0	0	0	4	0	0
chr17	2497300	2541392	-	NM_000430	INTRON	0	0	0	0	0	0	0	2	0	0
chr1	212974120	212976042	+	NM_001042552	INTRON	0	0	0	0	0	0	0	2	0	0
chr10	58119292	58119447	-	NM_001005413	INTRON	0	0	0	0	0	0	0	0	0	1
chr8	68102998	68105698	+	NM_001291339	INTRON	2	0	0	2	0	1	0	0	0	0
chr3	145807431	145809586	-	NM_000935	INTRON	2	0	0	0	1	0	0	1	0	0
chr17	60518059	60522195	+	NM_181725	INTRON	0	0	0	0	0	0	0	4	0	0
chr3	127396686	127400964	+	NM_032548	INTRON	0	0	0	1	0	0	0	0	0	0
chr7	137294355	137304584	-	NM_001321708	INTRON	0	0	0	0	0	0	0	0	0	4
chr7	97869666	97870162	-	NM_015395	INTRON	1	0	0	0	0	0	1	2	1	2
chr19	14184689	14185136	+	NM_001291291	INTRON	0	0	0	0	0	0	0	0	8	1
chr8	20016036	20073659	+	NM_001135691	INTRON	0	0	0	0	0	0	0	0	1	0
chr7	137593182	137597736	-	NM_001253775	INTRON	33	47	0	27	24	27	27	44	34	23
chr1	68152792	68153343	+	NM_001199741	INTRON	4	1	0	1	1	1	2	0	2	1
chr1	226250085	226250435	+	NM_002107	INTRON	0	0	0	0	0	0	0	2	0	0
chr10	75578025	75579289	-	NM_001320898	INTRON	0	5	0	0	0	1	0	1	1	4
chr11	64532990	64533422	-	NM_001178031	INTRON	7	22	0	12	24	26	42	38	55	9
chr9	137020889	137023014	+	NM_017588	INTRON	0	0	0	0	0	0	0	0	2	0
chr6	86251761	86275049	-	NM_001297614	INTRON	0	0	0	0	4	0	0	0	0	0
chrX	70504256	70504833	+	NM_001145408	INTRON	1	0	0	0	0	0	0	0	0	0
chr8	42146246	42146774	+	NM_001190720	INTRON	0	0	0	0	1	2	0	6	0	1
chr1	228585461	228588664	-	NM_145214	INTRON	0	0	0	0	2	0	0	0	2	0
chr3	33731424	33759299	-	NM_015097	INTRON	0	0	0	0	0	2	1	0	0	0
chrUn_gl000219	54293	57392	-	NR_027436	INTRON	0	0	0	0	0	0	1	0	0	0
chr22	39631879	39639905	-	NM_033016	INTRON	0	2	0	0	0	0	0	0	0	0
chr17	21102133	21117403	-	NM_003876	INTRON	0	0	0	0	0	0	0	0	0	2
chr5	137295903	137333523	-	NM_001101800	INTRON	0	0	0	0	0	0	0	0	0	1
chr18	21104446	21107758	+	NM_001276342	INTRON	1	0	0	4	1	4	1	2	2	0
chr1	93657663	93659172	+	NM_001306076	INTRON	8	25	0	18	24	17	23	23	7	10
chr5	37187674	37187834	-	NM_023073	INTRON	4	7	0	5	5	2	10	6	2	2
chr17	74722369	74729059	+	NM_001081461	INTRON	10	9	0	10	8	1	14	19	10	6
chr11	119604483	119605674	+	NR_120587	INTRON	0	0	0	0	2	0	0	0	0	0
chr1	212869254	212870302	-	NM_018664	INTRON	17	23	1	32	37	17	27	16	39	25
chr9	108118662	108120624	+	NM_001286730	INTRON	11	22	0	24	20	36	8	41	37	16
chr6	34839702	34840089	+	NM_017754	INTRON	56	190	0	139	110	125	119	120	153	77
chr8	74204555	74204597	-	NM_000971	INTRON	0	0	0	0	0	0	2	0	0	0
chr7	128807886	128808303	+	NM_178562	INTRON	0	0	0	1	0	0	0	0	0	0
chr3	72428578	72454887	-	NM_012234	INTRON	1	0	0	0	0	0	0	2	6	0
chr11	130062426	130064043	+	NM_021978	INTRON	2	0	0	0	0	0	0	0	0	0
chr12	54966988	55251506	+	NM_000924	INTRON	0	0	0	0	0	0	0	0	1	0
chr22	19504416	19506366	+	NM_001178010	INTRON	252	370	4	257	332	298	205	260	349	259
chr4	166141211	166182537	+	NM_001161521	INTRON	0	0	0	0	0	0	0	2	0	0
chr1	51929470	51930932	-	NM_001981	INTRON	19	51	1	56	34	53	62	38	71	38
chr17	76134813	76137497	+	NM_152468	INTRON	0	0	0	1	0	0	3	0	0	0
chr19	11835069	11836015	-	NM_001080493	INTRON	14	17	2	13	9	5	13	20	18	12
chr16	28916365	28917024	-	NM_024816	INTRON	0	0	0	0	0	0	0	1	0	0
chr7	72865324	72869822	-	NM_032408	INTRON	0	0	0	0	2	0	0	0	0	0
chr2	238638485	238657006	+	NM_001137550	INTRON	0	0	0	2	0	0	4	0	0	0
chr14	19921470	19921590	-	NR_122112	INTRON	0	3	0	2	1	0	0	0	0	0
chr1	54675764	54675795	+	NM_001330602	INTRON	0	0	0	0	0	0	0	0	2	0
chr7	98019869	98030113	-	NM_018842	INTRON	0	0	0	2	0	0	0	0	0	0
chr21	15889093	15889212	-	NM_001256370	INTRON	1	8	0	2	2	5	0	2	2	3
chr11	65716607	65827459	+	NM_152762	INTRON	0	0	0	0	0	0	0	1	0	0
chr14	58790335	58796256	+	NM_002892	INTRON	0	0	0	0	0	0	0	2	0	0
chr16	3293694	3293859	-	NM_000243	INTRON	0	0	0	1	0	0	0	0	1	0
chr3	50131216	50143059	+	NM_005778	INTRON	0	0	0	0	2	0	0	0	0	0
chr1	104080106	104083411	+	NM_017619	INTRON	0	0	0	0	1	0	1	0	0	0
chr1	12089338	12091322	+	NM_021933	INTRON	0	0	0	0	0	0	0	0	0	3
chr12	113532752	113532854	+	NM_004416	INTRON	0	2	0	0	0	0	0	0	1	0
chr6	29911187	30228252	+	NM_002116	INTRON	0	0	0	0	2	0	0	0	0	0
chr8	1719763	1728415	+	NM_018941	INTRON	12	14	0	9	20	11	13	11	50	22
chr12	120637011	120637112	-	NM_001002	INTRON	1	0	0	0	1	0	0	0	0	0
chr12	31227025	31231323	+	NM_004399	INTRON	30	30	0	41	32	34	36	31	51	11
chr5	76785397	76787994	-	NM_018268	INTRON	72	57	0	96	121	151	110	84	172	54
chr8	125565933	125567982	-	NM_001282971	INTRON	0	5	0	2	2	2	1	0	1	0
chr9	88635884	88636815	+	NM_001321881	INTRON	44	55	0	51	46	70	60	76	64	63
chr17	4901451	4901978	+	NM_006612	INTRON	0	0	0	0	0	0	0	1	0	0
chr12	56999847	57000030	+	NM_001300905	INTRON	0	0	0	5	0	0	0	4	2	0
chr10	52350007	52384679	-	NM_147156	INTRON	0	0	0	0	0	0	1	1	0	0
chr3	141464049	141465953	+	NM_001201370	INTRON	3	4	0	5	8	6	4	1	2	3
chr20	33530809	33533755	-	NM_000178	INTRON	206	199	2	346	359	201	324	196	501	246
chr4	84378111	84396620	+	NM_001297769	INTRON	3	2	0	0	2	0	0	0	0	0
chrX	62974556	62974898	-	NM_015185	INTRON	0	0	0	0	4	0	0	1	3	0
chr3	16345099	16346333	+	NM_001330670	INTRON	0	1	0	0	0	0	0	0	0	0
