chr	start	end	strand	NM	intron	LU_01.008.0483_LCL_mRNA_L1_S1..txt	LU_01.008.0483_LCL_totRNA_L1_S1..txt	LU_03.006.0289_LCL_mRNA_L1_S1..txt	LU_03.006.0289_LCL_totRNA_L1_S1..txt	LU_05.002.0176_LCL_mRNA_L1_S1..txt	LU_05.002.0176_LCL_totRNA_L1_S1..txt	LU_06.009.0425_LCL_mRNA_L1_S1..txt	LU_06.009.0425_LCL_totRNA_L1_S1..txt	LU_06.009.0916_RNA_LW_treat_mRNA_L1_S1..txt	LU_06.009.0916_RNA_LW_treat_totRNA_L1_S1..txt	LU_06.009.0916_RNA_LW_untr_mRNA_L1_S1..txt	LU_07.111.0075_LCL_mRNA_L1_S1..txt	LU_07.111.0075_LCL_totRNA_L1_S1..txt	LU_07.111.0085_RNA_MT_mRNA_L1_S1..txt	LU_07.111.0085_RNA_MT_totRNA_L1_S1..txt	LU_07.111.0097_RNA_MT_mRNA_L1_S1..txt	LU_07.111.0097_RNA_MT_totRNA_L1_S1..txt	LU_08.111.0021_LCL_mRNA_L1_S1..txt	LU_08.111.0021_LCL_totRNA_L1_S1..txt	LU_99.003.3193_RNA_MT_mRNA_L1_S1..txt	LU_99.003.3193_RNA_MT_totRNA_L1_S1..txt	LU_99.005.0355_LCL_mRNA_L1_S1..txt	LU_99.005.0355_LCL_totRNA_L1_S1..txt	LU_99.006.1923_LCL_totRNA_L1_S1..txt
chr12	95531454	95546586	-	NM_018351	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr2	47705599	47705639	+	NM_000251	INTRON	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12	103696337	103762664	-	NM_001099336	INTRON	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3	142094786	142095320	-	NM_001282857	INTRON	3	4	2	1	4	0	3	7	7	7	1	3	2	2	2	15	0	3	0	2	1	1	1	2
chr13	27828371	27829387	+	NM_000982	INTRON	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0
chr5	132161874	132163152	-	NM_133456	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr16	1412743	1412825	+	NM_032520	INTRON	0	8	0	3	0	1	2	3	12	0	1	1	1	1	1	8	0	0	5	4	4	0	0	0
chr17	72860686	72860945	-	NM_001258012	INTRON	3	7	2	9	1	1	1	9	20	10	0	1	2	0	0	12	0	0	7	0	3	1	0	3
chr15	40324438	40324957	+	NM_001013703	INTRON	7	2	1	2	0	1	2	6	19	2	0	1	0	1	1	20	2	2	2	1	4	2	0	5
chr22	24036584	24037359	-	NR_024448	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3	49397815	49405860	-	NM_001313943	INTRON	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
chr2	37473338	37474598	+	NM_001083946	INTRON	4	9	4	6	1	1	0	7	23	4	3	0	2	2	1	21	0	6	0	3	5	0	1	3
chr19	14517772	14517900	+	NM_001025160	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	79257302	79258649	-	NM_001037984	INTRON	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
chr5	65346794	65349233	+	NM_001006600	INTRON	7	17	2	15	0	0	4	8	37	9	3	2	3	5	0	44	0	6	3	5	0	0	0	1
chr15	41102414	41102585	+	NM_001077268	INTRON	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	227128100	227149077	+	NM_020247	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
chr2	70121150	70122225	+	NM_006857	INTRON	0	8	0	11	0	0	1	17	7	3	2	1	0	0	1	2	2	0	5	0	4	1	0	2
chr2	64147688	64148339	-	NM_001005739	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3	155621749	155623948	+	NM_003875	INTRON	11	1	9	12	3	0	3	4	36	0	4	1	2	2	0	17	1	0	2	7	0	2	1	2
chrX	100646523	100646545	+	NM_001199972	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
chr6	37347971	37348925	+	NM_003958	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	37364160	37365412	-	NM_001135651	INTRON	1	24	4	15	2	0	5	19	68	12	13	2	4	2	2	63	0	0	4	11	5	2	1	10
chr17	60072726	60100245	-	NM_005121	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr14	75528465	75528586	-	NR_126393	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	191885593	191890368	+	NR_136318	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	66440730	66446868	-	NM_001320772	INTRON	0	3	3	10	1	4	0	2	17	3	1	1	0	1	0	7	0	0	1	0	1	0	2	5
chr13	49765520	49771012	+	NM_001079673	INTRON	4	2	2	2	0	2	1	14	13	2	4	2	1	3	0	16	1	1	3	2	7	0	1	1
chr12	53607898	53608355	-	NM_000966	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr11	7024086	7041303	-	NM_013249	INTRON	0	0	0	1	0	0	0	2	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0
chr13	48517580	48523074	-	NM_003850	INTRON	0	4	3	14	0	0	1	7	29	5	0	4	0	1	2	15	0	1	0	3	0	0	1	2
chr3	72148162	72149054	-	NR_104116	INTRON	3	7	1	1	0	2	2	1	6	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0
chr17	28808275	28811231	+	NM_004871	INTRON	17	4	4	3	0	0	5	8	26	6	4	1	0	6	0	37	1	4	2	6	9	1	1	2
chr15	85643297	85643386	+	NM_001243137	INTRON	3	4	3	4	3	0	0	3	5	0	2	1	0	1	0	26	1	9	0	1	5	1	0	4
chr15	66829601	66832435	+	NM_001287821	INTRON	1	8	0	14	0	0	4	3	24	0	1	1	0	0	1	9	1	2	9	3	4	1	0	1
chr14	39784003	39784862	+	NM_001247988	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr16	24833468	24834194	+	NM_001330520	INTRON	5	2	4	5	1	0	1	3	6	0	1	1	1	2	2	13	0	3	2	2	3	2	0	0
chr17	59981946	59984768	-	NM_001330417	INTRON	4	2	1	0	0	1	0	3	4	1	0	0	2	0	0	2	0	1	2	1	1	1	0	0
chr1	31414119	31414844	-	NM_001020658	INTRON	1	2	1	7	0	0	2	3	34	5	5	0	0	3	0	20	0	2	2	4	0	1	0	2
chr10	94214296	94220947	-	NM_001165946	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	116741117	116744196	-	NM_001281748	INTRON	0	1	2	0	2	0	2	0	13	2	0	0	0	0	0	5	0	1	1	0	0	1	0	0
chr5	80150135	80171569	+	NM_002439	INTRON	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0
chr2	68615622	68620279	+	NM_002664	INTRON	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10	89640196	89685272	+	NM_000314	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
chr4	845762	853393	-	NM_001318134	INTRON	0	2	1	1	0	1	0	3	14	0	0	0	0	0	2	4	0	5	3	0	1	0	0	3
chr10	89005969	89037950	-	NR_024397	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
chr16	21738480	21739561	+	NM_001161683	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	160715371	160759584	-	NM_001282588	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
chr14	21878147	21881071	-	NM_001170629	INTRON	5	10	7	22	0	0	9	11	31	5	1	2	3	3	1	37	2	1	4	4	7	2	1	4
chr16	21976733	21987497	+	NM_003366	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
chr22	18138524	18165979	+	NM_001270728	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	12883550	12887847	+	NM_001321164	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr15	55604392	55640529	-	NM_001308421	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr3	112724789	112727017	-	NM_001319109	INTRON	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0
chr19	44622467	44622634	+	NM_001321685	INTRON	1	5	0	2	0	0	0	3	7	0	0	0	0	0	1	11	0	0	2	4	4	0	1	3
chr17	73698651	73699887	+	NM_001301839	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	5	0	0	0	0	4	0	0	0
chr15	62993413	62994190	+	NM_015059	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	159922483	159946095	+	NM_001145909	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3	129007840	129017196	+	NM_001006109	INTRON	1	1	0	0	0	1	0	0	3	0	0	1	0	1	2	2	1	0	1	0	3	0	0	0
chr18	2656260	2666868	+	NM_015295	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	41323680	41327807	+	NM_001291571	INTRON	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0
chr2	220081187	220082846	-	NM_005689	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	97243502	97244545	+	NM_001300985	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1	79094684	79095677	+	NM_006820	INTRON	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0
chr19	5896586	5896915	-	NM_001193375	INTRON	3	47	3	78	2	11	0	57	21	17	4	2	13	3	4	13	5	6	19	2	25	2	7	19
chr4	108622441	108641159	-	NM_005443	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr11	16863269	16872737	-	NM_001329630	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
chr17	33444056	33446550	-	NM_002878	INTRON	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19	19257656	19257844	-	NM_001145785	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	24506617	24507220	-	NM_170743	INTRON	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr15	75631685	75632042	+	NM_001284377	INTRON	0	1	0	7	0	1	2	4	2	0	0	0	0	0	0	2	0	0	0	0	1	0	3	0
chr10	70182647	70190192	-	NM_001080449	INTRON	2	3	1	13	0	0	0	6	7	3	0	0	0	1	0	5	0	2	0	1	0	0	0	0
chr9	130580990	130581237	+	NM_000118	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
chr1	3624355	3638584	+	NM_001126240	INTRON	0	0	0	2	0	0	4	2	16	1	0	2	0	0	1	8	0	1	0	1	0	3	3	0
chr17	37356996	37357465	+	NM_001330200	INTRON	0	2	0	0	0	0	2	2	1	0	1	0	1	0	0	6	1	0	2	0	0	0	0	0
chr17	42786734	42800247	+	NM_025104	INTRON	2	1	1	0	0	0	0	1	5	0	2	1	0	0	0	4	0	3	0	1	1	1	0	0
chr18	21181273	21192055	-	NM_001308238	INTRON	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	3	1	1	0	0
chr6	107011801	107016346	+	NM_001624	INTRON	5	18	3	29	1	2	6	21	123	18	10	2	1	9	4	55	2	3	3	1	13	5	3	13
chr6	116439108	116542216	+	NM_000493	INTRON	10	9	1	3	0	0	6	1	42	1	10	5	1	0	0	27	1	3	2	5	0	3	0	1
chr16	3188542	3188745	+	NR_104432	INTRON	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr8	104066214	104068095	+	NM_001695	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr9	139115699	139115852	-	NM_181701	INTRON	1	4	1	6	0	0	0	3	11	0	0	1	0	2	0	2	0	3	1	0	3	0	0	2
chr2	191548553	191550204	+	NM_001321312	INTRON	0	0	0	0	0	0	2	2	8	0	0	0	0	1	0	9	0	0	0	0	2	0	0	0
chr2	190609514	190611105	+	NM_144708	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	1958233	1959667	+	NM_001042781	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr5	115205825	115249058	+	NM_001002924	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10	28824686	28824838	+	NM_016628	INTRON	0	0	1	1	0	2	0	0	1	1	0	0	2	0	0	3	0	1	2	1	6	0	0	2
chr1	21107033	21113006	-	NM_016287	INTRON	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
chr1	52272585	52275952	-	NM_001101662	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr5	64907708	64909924	-	NM_001656	INTRON	0	2	0	2	0	0	0	0	1	0	0	1	0	0	0	3	0	0	2	0	2	0	0	0
chr12	111950083	111951160	-	NM_001310121	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr6	97616116	97618622	-	NM_198468	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr19	9649021	9649250	-	NM_001300883	INTRON	0	8	1	2	0	0	1	2	2	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2
chr12	114395855	114397016	-	NM_001146698	INTRON	5	5	6	11	3	8	1	6	13	3	1	3	5	7	5	10	6	4	6	11	7	7	4	7
chr12	50044661	50044950	-	NM_175736	INTRON	14	4	6	0	0	0	5	0	23	0	3	1	0	1	0	18	1	3	0	0	0	0	0	1
chr1	214504413	214505360	+	NM_020197	INTRON	1	7	1	10	2	0	0	6	11	3	3	0	2	3	4	14	0	2	3	0	2	2	0	3
chr11	126136173	126136363	-	NM_001177842	INTRON	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0
chr13	32924595	32953928	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr7	26111247	26249816	+	NM_004289	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr8	22385030	22386018	+	NM_001243974	INTRON	4	4	2	11	2	0	2	13	90	15	3	1	1	4	2	28	3	2	6	9	8	7	2	6
chr1	161008463	161008669	-	NM_001113205	INTRON	0	0	0	4	0	0	0	3	0	0	0	0	2	0	4	0	4	0	0	0	2	0	0	3
chr5	80021925	80024669	+	NM_002439	INTRON	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr18	8625992	8633186	+	NM_001025300	INTRON	1	1	3	1	3	11	0	1	0	2	0	0	6	0	0	0	0	0	0	0	1	5	3	0
chr14	74194227	74196342	-	NM_001043318	INTRON	7	0	2	2	0	0	4	2	7	3	0	8	0	0	0	19	0	0	0	5	0	0	0	0
chr7	129029575	129037062	+	NM_001130720	INTRON	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1
chr9	95051708	95055722	-	NR_037424	INTRON	0	6	1	2	0	0	2	3	2	2	0	0	0	1	0	6	0	0	1	1	1	0	0	4
chr2	37450540	37454686	-	NM_005760	INTRON	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chr13	40918342	40924245	-	NR_024506	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3	196664502	196666121	-	NM_001308036	INTRON	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0
chr7	139653255	139655257	+	NM_001061	INTRON	3	2	0	0	2	0	2	2	4	0	0	0	0	0	0	0	0	1	3	0	0	1	0	2
chr11	102188302	102192567	+	NM_001165	INTRON	11	17	4	26	0	0	8	44	20	9	0	4	6	0	6	28	4	7	4	0	9	2	2	10
chr20	61711774	61713533	+	NR_033370	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1	167974031	167992225	+	NM_001198956	INTRON	0	0	0	0	1	0	3	0	13	1	1	0	0	0	0	14	0	0	0	1	3	0	0	2
chr18	59966093	59967523	+	NM_001346229	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr19	36706091	36719649	+	NM_001099638	INTRON	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
chr12	125271049	125271951	-	NM_001082959	INTRON	7	0	4	1	2	0	1	0	36	0	4	4	0	2	1	19	0	5	1	6	4	3	0	2
chr12	110341019	110341741	+	NM_001143852	INTRON	1	8	1	1	2	3	0	3	2	0	1	3	2	0	0	1	2	0	4	0	4	1	0	0
chr8	144728977	144732067	+	NM_014789	INTRON	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0
chr3	4808394	4810194	+	NM_001099952	INTRON	2	3	2	3	1	1	0	5	7	10	1	0	1	0	1	15	2	0	2	2	3	0	1	1
chrUn_gl000220	113647	157532	+	NR_046235	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr12	120960166	120966742	-	NM_032314	INTRON	1	7	4	13	6	3	2	5	15	3	2	0	7	5	3	3	1	4	11	4	8	3	6	12
chr16	3352009	3353758	-	NM_033208	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	207027338	207027452	+	NM_001037663	INTRON	132	248	90	325	23	21	91	296	676	76	181	30	21	228	92	540	29	54	95	74	103	55	77	79
chr4	169206086	169206543	-	NM_017631	INTRON	5	7	0	4	0	0	1	5	5	4	0	0	0	0	0	14	0	0	6	0	0	2	0	0
chr3	25679801	25683812	-	NM_001068	INTRON	4	10	2	12	0	0	1	4	12	2	0	1	1	0	3	20	0	4	0	8	2	0	0	1
chr6	41653975	41654831	-	NM_001167827	INTRON	14	8	3	1	8	1	6	9	73	10	10	5	3	7	2	47	2	11	0	14	3	3	1	8
chrX	135303122	135304551	-	NM_001173516	INTRON	0	0	0	1	0	0	0	2	7	0	0	0	0	1	1	5	0	0	0	0	1	0	0	0
chr16	20844445	20851076	+	NM_001144924	INTRON	3	0	0	2	0	2	0	2	14	0	0	3	2	0	2	5	2	0	2	0	2	1	0	0
chr3	48577204	48581012	-	NM_001317134	INTRON	0	0	1	0	0	0	0	6	14	6	2	0	0	0	0	9	0	0	0	4	0	0	0	2
chr2	73994334	73996391	-	NM_003584	INTRON	16	14	1	1	1	2	2	15	23	6	4	2	0	2	0	33	0	6	7	5	3	4	2	4
chr6	53365148	53365229	-	NM_001197115	INTRON	1	4	0	4	0	0	0	2	4	0	1	0	0	1	0	13	0	0	0	1	0	0	0	0
chr2	37440248	37440579	+	NR_136316	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
chr17	7579940	7587456	-	NM_001126118	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
chr1	202129248	202133042	+	NM_002832	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5	138526025	138532129	-	NM_001037633	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr16	2027671	2027742	+	NM_006453	INTRON	0	2	0	4	0	0	0	7	2	2	0	0	0	0	0	0	0	0	0	1	4	1	0	0
chr22	29134185	29137769	-	NM_001005735	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
chr11	33757939	33783299	-	NM_000611	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr15	90129173	90135277	+	NM_001308025	INTRON	1	0	1	0	2	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
chr10	91102751	91152395	+	NM_001010987	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr18	47017953	47018130	-	NM_001035006	INTRON	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
chr10	89711941	89711988	+	NM_000314	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
chr7	74308605	74310237	+	NR_027775	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12	6635781	6636056	+	NM_014865	INTRON	7	17	13	24	1	2	2	9	36	3	1	8	4	6	2	20	0	6	5	3	10	3	15	5
chr3	41266244	41266444	-	NM_001098209	INTRON	0	0	0	0	0	0	0	0	0	13	0	2	7	1	0	0	6	1	0	2	3	0	2	0
chr17	12844441	12846904	+	NM_001321164	INTRON	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
chr1	52975790	52981562	-	NM_001009881	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr11	57414267	57414371	-	NM_145008	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr4	105564080	105564477	+	NR_125926	INTRON	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19	52384130	52394085	-	NM_001135590	INTRON	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	2	0	3	1	0	0	0	0	1
chr14	94413866	94415122	-	NR_039728	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19	41837115	41838032	-	NM_000660	INTRON	1	0	2	0	0	0	0	2	6	0	2	0	0	0	0	10	0	1	0	0	2	0	0	1
chr6	107001442	107006360	+	NM_001624	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr9	115092754	115095749	-	NM_001244898	INTRON	0	0	2	1	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr17	30932259	30965739	-	NM_001303279	INTRON	3	1	1	0	0	0	1	0	9	1	4	0	0	0	0	4	1	2	1	2	0	0	0	1
chr1	68152792	68153343	+	NM_001199741	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7	137593182	137597736	-	NM_001253775	INTRON	0	0	3	0	0	0	0	0	4	0	1	1	0	1	0	8	0	2	0	0	0	0	0	0
chr7	134625988	134631164	+	NM_004342	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	64532990	64533422	-	NM_001178031	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7	5958535	5959479	+	NM_015622	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
chr10	89720775	89720844	+	NM_000314	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
chr1	93657663	93659172	+	NM_001306076	INTRON	1	0	1	8	0	0	0	7	12	0	0	2	0	0	0	9	0	0	10	0	0	0	0	0
chr5	37187674	37187834	-	NM_023073	INTRON	1	0	1	0	0	0	0	0	1	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0
chr17	74722369	74729059	+	NM_001081461	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr8	74859055	74859470	-	NM_001204857	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr22	29130715	29137476	-	NM_001005735	INTRON	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19	3192658	3193281	+	NM_001321463	INTRON	0	0	0	2	0	0	0	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1
chr13	45919044	45944214	+	NR_024458	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr9	108118662	108120624	+	NM_001286730	INTRON	0	1	1	0	0	0	1	0	6	4	3	1	1	0	0	10	0	2	1	5	3	3	0	0
chr6	34839702	34840089	+	NM_017754	INTRON	3	4	1	13	0	2	0	3	4	4	0	0	0	1	0	4	0	0	0	1	1	4	0	2
chr15	66833109	66838928	+	NM_001287821	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr22	19504416	19506366	+	NM_001178010	INTRON	0	5	2	13	0	0	2	7	14	5	4	0	0	0	1	2	0	3	1	1	1	0	0	5
chr8	67336017	67338276	-	NR_040434	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	0	0	0	0	1	0	0
chr2	112524572	112526773	-	NM_022662	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	51929470	51930932	-	NM_001981	INTRON	10	8	13	19	2	1	2	11	25	5	2	3	2	2	1	20	4	3	1	1	11	2	2	2
chr19	11835069	11836015	-	NM_001080493	INTRON	0	3	0	16	1	1	1	5	0	1	0	2	0	0	5	14	0	1	2	0	3	0	0	3
chr9	33973235	33982217	-	NM_018449	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr21	15889093	15889212	-	NM_001256370	INTRON	5	2	1	1	1	6	2	0	1	0	0	5	4	11	10	5	7	2	3	3	4	1	0	4
chr19	7527220	7527982	+	NM_001130955	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
chr15	82824401	83208762	-	NM_001021	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
